Num	Registro no site	data	codificacao_foto	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema?	RECLASSIFICAÇÃO	PRECISA REV MANUAL?	Categoria 2	Com que frequência isso ocorre?	Consegue nos informar o endereço de onde a foto/vídeo foi tirada?	Em que localidade fica?	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma?	A quem recorreu?
144	Não	20210722	20210722_1223	Vazamento de esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Vazamento de esgoto , Nova Mare ( sem número e nomes nas vielas), entrada pela Rua do canal projetada	Nova Maré	-22.860800	 -43.239680		
145	Não	20210722	20210722_1224	Bueiro quebrado	Problemas com bueiro	Não precisa		Esgoto	Diariamente	Boeiro quebrado, Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves	Nova Maré	-22.8602	-43.24003		
146	Não	20210722	20210722_1224	Vazamento de esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Vazamento de esgoto , Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves	Nova Maré	-22.86015	-43.24033		
147	Não	20210722	20210722_1226	Lixo espalhado	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Lixo espalhado , Nova Mare ( sem número e nomes nas vielas), entrada pela Rua Tancredo Neves	Nova Maré	-22.85964	-43.24054		
148	Não	20210722	20210722_1227	Vazamento de esgoto	Transbordamento de esgoto	Não precisa		Esgoto	Frequentemente	Vazamento de esgoto, Nova Mare (s numero e nomes nas vielas), entrada pela Rua tancredo neves	Nova Maré	-22.85965	-43.24014		
149	Não	20210722	20210722_1227	Bueiro quebrado	Problemas com bueiro	Não precisa		Esgoto	Diariamente	Boeiro quebrado, Nova Mare (s numero e nomes nas vielas), entrada pela Rua Tancredo Neves	Nova Maré	-22.85935	-43.24012		
150	Não	20210722	20210722_1227	Bueiro quebrado	Problemas com bueiro	Não precisa		Esgoto	Diariamente	Boeiro quebrado, Nova Mare (s numero e nomes nas vielas), entrada pela Rua Tancredo Neves	Nova Maré	-22.85927	-43.23985		
151	Sim	20210730	20210730_1415	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Parque Maré/ Rua Nova (próximo a joaquim nabuco) Parque Maré	Parque Maré	-22.85637	-43.24375		
152	Sim	20210730	20210730_1417	-	Esgoto a céu aberto	Bueiro entupido		Esgoto	Frequentemente	Parque Maré: Rua João Pessoa (ao final encontro com a Santo Antônio) 	Parque Maré	-22.85627	-43.24444		
153	Sim	20210730	20210730_1419	-	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Parque Maré: Rua princesa isabel	Parque Maré	-22.85725	-43.24436		
154	Sim	20210730	20210730_1421	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Parque Maré: rua guanabara com princesa isabel	Parque Maré	-22.85819	-43.24388		
155	Sim	20210730	20210730_1422	-	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Parque Maré: rua vinte nove de julho 	Parque Maré	-22.85837	-43.24319		
156	Sim	20210730	20210730_1424	-	Bueiro entupido	Não precisa		Esgoto	Frequentemente	Rua Massaranduba	Parque Rubens Vaz	-22.85297	-43.24497		
157	Sim	20210730	20210730_1424	-	Bueiro entupido	Não precisa		Esgoto	Frequentemente	Rua Massaranduba	Parque Rubens Vaz	-22.85292	-43.24484		
158	Sim	20210730	20210730_1424	-	Alagamento	Não precisa		Drenagem	Frequentemente	Rua Massaranduba	Parque Rubens Vaz	-22.85287	-43.24471		
159	Não	20210730	20210730_1621	-	Acúmulo de lixo	Não precisa		Lixo	Diariamente	Rua Tancredo neves/ VO	Nova Holanda	-22.85879	-43.23964		
160	Sim	20210730	20210730_1621	-	Acúmulo de lixo	Não precisa		Lixo	Diariamente	Rua Tancredo neves/ VO	Nova Holanda	-22.85919	-43.23949		
161	Sim	20210730	20210730_1622	-	Transbordamento de esgoto	Não precisa		Esgoto	Frequentemente	Rua Tancredo neves com a rua Esperança	Nova Holanda	-22.85685	-43.24014		
162	Sim	20210730	20210730_1623	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Tancredo neves com Evanildo Alves	Nova Holanda	-22.85796	-43.23988		
163	Sim	20210730	20210730_1624	-	Transbordamento de água	Transbordamento de esgoto		Abastecimento de água	Ocasionalmente	Rua Mané garrinha com a rua tancredo neves	Nova Holanda	-22.85605	-43.24038		
164	Não	20210723	20210723_1048	Rua com vazamento de água	Transbordamento de água	Esgoto a céu aberto		Esgoto	Ocasionalmente	Travessa 28	Vila dos Pinheiros	-22.86714	-43.23506		
165	Não	20210726	20210726_1631	Travessa com lixo	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Travessa 46	Vila dos Pinheiros	-22.86763	-43.2375		
166	Não	20210726	20210726_1633	Esgoto na rua toda	Transbordamento de esgoto	Não precisa		Esgoto	Ocasionalmente	Lote 14 prox a rua A1	Salsa e Merengue	-22.87002	-43.23755		
167	Não	20210726	20210726_1635	Vazamento de água	Transbordamento de água	Esgoto a céu aberto		Esgoto	Frequentemente	Travessa 56	Salsa e Merengue	-22.86955	-43.23674		
168	Não	20210726	20210726_1636	Buraco com vazamento de água	Transbordamento de água	Esgoto a céu aberto		Esgoto	Frequentemente	Rua 2 prox a Travessa 13	Vila do João	-22.87154	-43.24002		
169	Não	20210727	20210727_1747	Travessa com esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Travessa 31	Vila dos Pinheiros	-22.8673	-43.23575		
170	Não	20210727	20210727_1747	Travessa com esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Travessa 31	Vila dos Pinheiros	-22.86719	-43.23576		
171	Sim	20210729	20210729_1336	-	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua João Araújo	Parque Rubens Vaz	-22.85318	-43.24672		
