,ano,Mes,Localidade,Categoria,Subcategoria
45,2021,maio,Salsa e Merengue,Esgoto,Esgoto a céu aberto
46,2021,maio,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
47,2021,maio,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
48,2021,outubro,Roquete Pinto,Lixo,Acúmulo de lixo
49,2021,outubro,Roquete Pinto,Esgoto,Esgoto a céu aberto
50,2021,outubro,Roquete Pinto,Esgoto,Transbordamento de esgoto
51,2021,outubro,Roquete Pinto,Lixo,Acúmulo de lixo
52,2021,outubro,Roquete Pinto,Esgoto,Problemas com bueiro
53,2021,outubro,Roquete Pinto,Esgoto,Esgoto a céu aberto
54,2021,outubro,Roquete Pinto,Esgoto,Transbordamento de esgoto
55,2021,maio,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
56,2021,maio,Morro do Timbau,Esgoto,Esgoto a céu aberto
57,2021,maio,Morro do Timbau,Lixo,Acúmulo de lixo
58,2021,maio,Bento Ribeiro Dantas,Lixo,Acúmulo de lixo e entulho
59,2021,maio,Bento Ribeiro Dantas,Esgoto,Esgoto a céu aberto
60,2021,maio,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
61,2021,maio,Vila dos Pinheiros,Esgoto,Bueiro entupido
62,2021,maio,Roquete Pinto,Esgoto,Transbordamento de esgoto
63,2021,maio,Roquete Pinto,Esgoto,Esgoto a céu aberto
